datetime_created,Españoles_V,Extranjeros_V,Españoles_P,Extranjeros_P,Total_Viajeros,Total_Pernoctantes,Total_Españoles,Total_Extranjeros,Total_Turistas
2020-07-31,0.2691020157475087,0.11564065557914781,0.20124297425983603,0.07940311276988327,0.22401451900539207,0.14102464256736952,0.21519432297520513,0.08490884459955915,0.1549757252247397
2020-08-31,0.47366469868918315,0.16673593217521404,0.40911323524147064,0.11914595796122641,0.37723487224046054,0.2645836902821654,0.4223845688309679,0.126376515429831,0.2835210115363344
2020-09-30,0.23834844821194398,0.06789279210524328,0.19724197186123937,0.04206314073797311,0.18240201247989798,0.11951779693776841,0.20569317856054023,0.045987555106539305,0.1300890006378644
2020-10-31,0.1849640618169947,0.06261098223528612,0.15227580281387604,0.03792478397831864,0.14615004607261606,0.09512161276208304,0.15899628235872282,0.04167546840558413,0.1036997902645282
2020-11-30,0.0545076275266009,0.018391881578649096,0.03082232484874521,0.011476934448266479,0.04304198389035068,0.021241346498314256,0.0356918589571493,0.012527553269654665,0.02490616089849946
2020-12-31,0.06494325695662519,0.015739642287726403,0.03816847456413561,0.014803052393464725,0.04842004211352433,0.02661292492250965,0.043673184293989434,0.014945352681851579,0.03027882861472695
2021-01-31,0.015011592069806947,0.004458180004684867,0.01162782372104679,0.003362668691848777,0.01157246013755216,0.007507607435108472,0.012323503046463692,0.0035291146216017634,0.00819093290172942
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.043994533190945456,0.006551257735697932,0.023941574481795725,0.00271558510299865,0.03089492991006205,0.013257256622256332,0.028064323839772847,0.0032983559882439383,0.01622225245648475
2021-04-30,0.09071140449407117,0.010367157570216336,0.045304120574231194,0.004128880640152484,0.06224533054912252,0.02455831564519121,0.05463954350823388,0.005076689933872153,0.03089372283701828
2021-05-31,0.21749378897453064,0.044785818453842725,0.1328163820570651,0.022974174866894362,0.15848279196549633,0.07768150582611294,0.1502254701655875,0.02628811535635562,0.0912646736790523
2021-06-30,0.4733050401987528,0.09798928525551416,0.40799627680521244,0.06196299169215065,0.3451311930880565,0.2341249219432554,0.4214233060160264,0.06743662747979427,0.25278572408801
2021-07-31,0.7992828963021574,0.2318555851927974,0.7647055454122363,0.16159626586742365,0.6136101661066713,0.46259435839125934,0.7718144091589576,0.17227107825128582,0.487980997177023
2021-08-31,1.0,0.42040637444178297,0.9999999999999999,0.3346329154364633,0.8281298722229424,0.6694245536428605,1.0,0.3476648603967671,0.6961038440901538
2021-09-30,0.5031898941497397,0.33230820380683235,0.5662034153152186,0.3225508630714269,0.47270153703852935,0.4486312280786217,0.5532482720021114,0.32403333945628215,0.4526775875178829
2021-10-31,0.44657964775600767,0.4210335421373573,0.533443597178964,0.4046925743773851,0.4779955083578879,0.4753942485100189,0.5155849710824844,0.40717533063923583,0.47583153547450807
2021-11-30,0.2158006274657356,0.30982839785100613,0.2007245909855726,0.3142606122385437,0.28030369386761217,0.26359815750682863,0.20382411961977223,0.313587206098457,0.2664064556825591
2021-12-31,0.23630116142026372,0.16326006301901905,0.18463179751548348,0.17548013466919543,0.2253248732565106,0.18305988102806928,0.19525466070266606,0.173623484570169,0.19016487293069542
2022-01-31,0.10048858222623072,0.11539885598567337,0.09128700819818851,0.1297930550873901,0.1171365606354167,0.11301483821544936,0.09317878805804436,0.12760608008817045,0.1137077238135457
2022-02-28,0.2968289187559136,0.23347261997415766,0.2069466222747288,0.21811184257728788,0.2962066295516416,0.21638887197561088,0.22542579961139958,0.22044567413666422,0.2298067029360021
2022-03-31,0.3160236157298024,0.47760709077307867,0.3611813983460423,0.4569939853715789,0.42155918141399135,0.41757915768099607,0.35189727115119473,0.46012582659808965,0.4182482229026894
2022-04-30,0.5428740586630664,0.7022993630091959,0.6095227866680987,0.6046116212422109,0.6693843086830239,0.6175658473245476,0.595820270018156,0.6194537564290963,0.6262768331534002
2022-05-31,0.4383075024761104,0.8551393747969261,0.5151942147280993,0.7819856260804467,0.6740406209817847,0.6636947283908486,0.49938683945887163,0.7931002020573108,0.6654339333263833
2022-06-30,0.5963746424164624,0.8685290272855729,0.6038305946371675,0.824546939957953,0.780336978267039,0.7297771081693021,0.6022977025249929,0.831229335047759,0.7382765174605811
2022-07-31,0.8389836604381193,0.8996758374199983,0.9118347474313535,0.8514279835223818,0.9483986700254714,0.8961169159054512,0.8968570687513368,0.8587584955914769,0.9049057839518497
2022-08-31,0.8470123445860331,1.0,0.9647871692979629,0.9999999999999999,1.0,1.0,0.9405734814322703,1.0,1.0
2022-09-30,0.4881506360422073,0.8597789044967168,0.5957612859341996,0.8530226790614309,0.7077524621696524,0.7406802724941484,0.5736372819810432,0.8540491825863336,0.7351449153725322
2022-10-31,0.47112495642599056,0.7088430645075978,0.5940428883399563,0.7190357642287318,0.6269869910552557,0.6697558965587065,0.5687718132715699,0.7174871418074945,0.6625661938931109
2022-11-30,0.4377652481366924,0.5068875102953734,0.5077907850929009,0.5375220488994841,0.512222381831623,0.5321806187050155,0.49339401992146087,0.5328676065393093,0.5288255225864665
2022-12-31,0.38977020589065275,0.34502535117612837,0.41043067339705724,0.37745685319731037,0.4067809080684888,0.4003309181172359,0.4061830244399649,0.3725293901542983,0.40141519907789425
2023-01-31,0.30708195233695024,0.28298108673804795,0.31374646475494933,0.3282175825336165,0.32565456399188564,0.3267770387855291,0.31237628718210075,0.3213445995591477,0.3265883442206127
2023-02-28,0.38147039457303006,0.34449641456540303,0.34372104679053445,0.3617711679588032,0.4012802231105848,0.35914527687665404,0.3514820511187052,0.35914653747244674,0.36622840728849904
